Country,1950,1955,1950-55%,1960,1955-60%,1965,1960-65%,1970,1965-70%,1975,1970-75%,1980,1975-80%,1985,19880-85%,1990,1985-90%,1995,1990-95%,2000,1995-2000%,2005,2000-05%,2010,2005-10%,2015,2010-15%
 Gibraltar,23,24,0.58,25,0.49,26,0.88,27,0.72,30,2.05,29,-0.15,29,-0.13,30,0.32,27,-1.66,28,0.38,29,0.86,29,0.29,30,0.26
 Greece,7567,7966,1.03,8328,0.89,8551,0.53,8793,0.56,9047,0.57,9643,1.28,9924,0.58,10130,0.41,10458,0.64,10560,0.19,10669,0.21,10750,0.15,10776,0.05
 Greenland,23,27,3.59,33,4.09,40,3.83,47,3.44,50,1.32,51,0.25,54,1.15,56,0.92,57,0.2,57,0.25,58,0.31,58,-0.05,58,0.03
 Grenada,76,85,2.22,91,1.27,94,0.69,96,0.45,96,0.09,91,-1.21,94,0.63,95,0.24,98,0.74,102,0.78,105,0.58,108,0.61,111,0.53
 Guam,60,69,2.78,67,-0.53,75,2.07,87,3.14,103,3.38,107,0.92,121,2.45,135,2.15,145,1.46,156,1.5,159,0.39,160,0.13,162,0.29
 Guatemala,2969,3488,3.27,4100,3.29,4746,2.97,5265,2.1,5911,2.34,6650,2.38,7581,2.66,8966,3.41,10028,2.26,11086,2.02,12183,1.91,13551,2.15,14919,1.94
 Guernsey,46,47,0.36,47,0.33,51,1.31,54,1.25,54,0.16,54,-0.13,56,0.67,63,2.57,61,-0.53,62,0.32,64,0.38,65,0.51,67,0.4
 Guinea,2586,2787,1.51,3027,1.66,3314,1.83,3644,1.91,4019,1.98,4448,2.05,5227,3.28,6119,3.2,7446,4,8351,2.32,9154,1.85,10325,2.44,11781,2.67
 Guinea-Bissau,574,592,0.64,617,0.82,604,-0.42,621,0.53,681,1.89,789,2.99,886,2.33,996,2.39,1144,2.8,1279,2.27,1415,2.03,1566,2.05,1727,1.98
 Guyana,428,492,2.79,572,3.06,641,2.31,715,2.23,768,1.45,760,-0.23,763,0.08,772,0.24,769,-0.07,785,0.41,775,-0.26,746,-0.76,736,-0.29
 Haiti,3098,3365,1.67,3697,1.9,4094,2.06,4541,2.09,4974,1.84,5508,2.06,6120,2.13,6798,2.12,7571,2.18,8413,2.13,9205,1.82,9649,0.95,10111,0.94
 Honduras,1432,1663,3.03,1952,3.26,2330,3.6,2761,3.46,2858,0.69,3403,3.55,4078,3.69,4795,3.29,5551,2.97,6360,2.76,7194,2.49,7990,2.12,8747,1.83
 Hong Kong,2238,2491,2.17,3076,4.31,3598,3.19,3960,1.93,4396,2.12,5064,2.87,5457,1.51,5688,0.84,6223,1.81,6656,1.36,6905,0.74,7030,0.36,7142,0.32
 Hungary,9339,9826,1.02,9984,0.32,10153,0.34,10338,0.36,10532,0.37,10712,0.34,10649,-0.12,10372,-0.53,10281,-0.18,10148,-0.26,10058,-0.18,9993,-0.13,9898,-0.19
 Iceland,143,159,2.03,176,2.16,193,1.8,205,1.2,219,1.33,229,0.91,242,1.13,255,1.08,268,0.99,282,0.99,297,1.09,318,1.39,332,0.87
 India,369881,404268,1.79,445394,1.96,494964,2.13,553889,2.28,618923,2.25,684888,2.05,759613,2.09,838159,1.99,920585,1.89,1006301,1.8,1090974,1.63,1173109,1.46,1251696,1.31
 Indonesia,82979,90255,1.7,100146,2.1,110754,2.03,122292,2,135214,2.03,150322,2.14,166070,2.01,181600,1.8,197604,1.7,214091,1.62,229245,1.38,243423,1.21,255994,1.01
 Iran,16358,18739,2.76,21600,2.88,25040,3,28995,2.98,33468,2.91,39709,3.48,48619,4.13,58101,3.63,64218,2.02,68632,1.34,72283,1.04,76924,1.25,81825,1.24
 Iraq,5164,5904,2.71,6823,2.94,7971,3.16,9414,3.38,11118,3.38,13233,3.54,15694,3.47,18140,2.94,19658,1.62,23129,3.3,27538,3.55,30527,2.08,37057,3.95
 Ireland,2964,2917,-0.32,2833,-0.58,2877,0.31,2951,0.51,3178,1.49,3402,1.37,3541,0.8,3509,-0.18,3614,0.6,3823,1.13,4200,1.9,4623,1.94,4893,1.14
 Isle of Man,55,52,-1.4,48,-1.34,49,0.52,53,1.43,60,2.44,65,1.54,65,0.1,69,1.34,73,1.01,76,0.92,80,1.01,84,1.05,88,0.86
 Israel,1287,1771,6.6,2139,3.84,2573,3.77,2895,2.39,3342,2.91,3721,2.17,4050,1.71,4460,1.95,5335,3.65,6098,2.71,6726,1.98,7369,1.84,8050,1.78
 Italy,47106,48634,0.64,50198,0.64,51988,0.7,53662,0.64,55572,0.7,56452,0.31,56719,0.09,56714,0,57295,0.2,57785,0.17,59038,0.43,60749,0.57,61856,0.36
 Ivory Coast,2861,3165,2.04,3577,2.48,4357,4.03,5580,5.07,7031,4.73,8594,4.09,10332,3.75,12491,3.87,14846,3.51,16885,2.61,18921,2.3,21059,2.16,23296,2.04
 Jamaica,1385,1489,1.46,1632,1.85,1778,1.72,1944,1.81,2105,1.61,2229,1.15,2319,0.79,2348,0.25,2470,1.02,2616,1.16,2737,0.91,2848,0.8,2951,0.71
 Japan,83806,89816,1.39,94092,0.93,98883,1,104345,1.08,111574,1.35,116808,0.92,120755,0.67,123538,0.46,125328,0.29,126776,0.23,127716,0.15,127580,-0.02,126920,-0.1
 Jersey,57,60,1.04,63,1.02,67,1.04,70,0.8,73,0.94,76,0.88,80,1.05,84,0.99,85,0.33,88,0.56,89,0.25,94,1.08,98,0.83
 Jordan,562,689,4.17,853,4.36,1069,4.62,1516,7.25,1822,3.75,2190,3.75,2669,4.04,3321,4.47,4249,5.05,4786,2.4,5363,2.31,6501,3.92,8118,4.54
 Kazakhstan,6694,7977,3.57,9983,4.59,11903,3.58,13107,1.95,14158,1.55,15000,1.16,15999,1.3,16776,0.95,16390,-0.46,15688,-0.87,16123,0.55,17085,1.17,18158,1.22
 Kenya,6122,7034,2.82,8157,3.01,9550,3.2,11248,3.33,13434,3.62,16331,3.98,19763,3.89,23361,3.4,27164,3.06,30606,2.42,35247,2.86,40844,2.99,45926,2.37
 Kiribati,34,37,1.99,41,1.99,45,1.9,49,1.78,54,1.71,58,1.57,63,1.52,72,2.82,77,1.43,86,2.15,93,1.7,100,1.45,106,1.22
 Kosovo,762,854,2.32,947,2.1,1079,2.63,1220,2.49,1370,2.35,1522,2.13,1683,2.03,1862,2.05,2029,1.73,1701,-3.47,1768,0.78,1816,0.53,1871,0.61
 Kuwait,145,187,5.21,293,9.38,477,10.26,748,9.44,1007,6.14,1370,6.35,1733,4.81,2132,4.23,1665,-4.82,1973,3.45,2257,2.73,2544,2.42,2789,1.86
 Kyrgyzstan,1739,1902,1.8,2172,2.69,2574,3.45,2964,2.87,3301,2.18,3632,1.93,4062,2.27,4484,2,4621,0.6,4938,1.34,5165,0.9,5411,0.94,5665,0.92
 Laos,1886,2078,1.95,2310,2.14,2566,2.12,2845,2.09,3162,2.13,3294,0.82,3658,2.12,4211,2.86,4847,2.85,5398,2.18,5837,1.58,6369,1.76,6912,1.65
 Latvia,1937,2003,0.67,2116,1.1,2254,1.28,2362,0.94,2462,0.84,2525,0.51,2607,0.64,2664,0.43,2481,-1.41,2369,-0.92,2259,-0.94,2116,-1.31,1987,-1.25
 Lebanon,1365,1561,2.73,1787,2.73,2058,2.87,2384,2.98,2693,2.47,2902,1.51,3177,1.83,3452,1.67,3673,1.25,3835,0.87,4139,1.54,4493,1.65,6185,6.6
 Lesotho,727,787,1.6,859,1.78,953,2.1,1068,2.3,1196,2.3,1359,2.59,1552,2.69,1704,1.88,1848,1.64,1917,0.73,1923,0.06,1920,-0.03,1948,0.29
 Liberia,824,929,2.41,1055,2.59,1209,2.76,1397,2.93,1617,2.97,1858,2.81,2162,3.08,2139,-0.22,1901,-2.34,2601,6.48,2931,2.41,3686,4.69,4196,2.63
 Libya,962,1123,3.15,1338,3.57,1624,3.95,2000,4.25,2569,5.14,3061,3.57,3661,3.64,4099,2.29,4584,2.26,5025,1.85,5571,2.08,6111,1.87,6412,0.97
 Liechtenstein,14,15,1.72,17,2.25,19,2.65,22,2.42,24,2.1,26,1.38,27,1.4,29,1.39,31,1.41,33,1.18,35,1.27,37,0.71,38,0.81
 Lithuania,2554,2615,0.47,2765,1.13,2960,1.37,3138,1.18,3306,1.05,3436,0.78,3588,0.87,3684,0.53,3510,-0.96,3490,-0.12,3327,-0.95,3089,-1.47,2885,-1.36
 Luxembourg,296,305,0.61,314,0.6,332,1.09,340,0.46,359,1.14,365,0.3,368,0.15,383,0.85,410,1.35,439,1.37,468,1.29,510,1.73,571,2.29
 Macau,206,193,-1.27,187,-0.7,224,3.77,262,3.15,255,-0.54,256,0.11,306,3.64,352,2.84,402,2.67,432,1.47,475,1.89,568,3.68,593,0.86
 Madagascar,4621,5003,1.6,5482,1.85,6071,2.06,6766,2.19,7604,2.36,8692,2.71,10029,2.9,11633,3.01,13533,3.07,15713,3.03,18132,2.91,20847,2.83,23813,2.7
