Country,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Taiwan,19.104,0,0.294,0,23816775,?,?,8.353,?,103.957,?,?,?,80.46
Tajikistan,721.143,4.613,5.976,0,9537642,64.281,3.466,2.155,2896.913,427.698,7.11,72.704,4.8,71.1
Tanzania,8.521,0,0.352,0,59734213,64.699,3.108,1.874,2683.304,217.288,5.75,47.953,0.7,65.46
Thailand,46.562,0.014,0.831,0,69799978,135.132,11.373,6.89,16277.671,109.861,7.04,90.67,2.1,77.15
Timor,18.203,0,0,0,1318442,87.176,3.556,1.897,6570.102,335.346,6.86,28.178,5.9,69.5
Togo,93.493,0.966,1.812,0,8278737,143.366,2.839,1.525,1429.813,280.033,6.15,10.475,0.7,61.04
Trinidad and Tobago,97.893,0,5.716,0,1399491,266.886,10.014,5.819,28763.071,228.467,10.97,89.443,3,73.51
Tunisia,116.257,2.2,4.231,0,11818618,74.228,8.001,5.075,10849.297,318.991,8.52,78.687,2.3,76.7
Turkey,2604.262,10.956,65.106,0.19,84339067,104.914,8.153,5.061,25129.341,171.285,12.13,?,2.81,77.69
Turks and Caicos Islands,2092.05,154.967,51.656,0,38718,37.312,?,?,?,?,?,?,?,80.22
Uganda,23.283,0.066,0,0,45741000,213.759,2.168,1.308,1697.707,213.333,2.5,21.222,0.5,63.37
Ukraine,1345.459,16.715,33.955,0.183,43733759,77.39,16.462,11.133,7894.393,539.849,7.11,?,8.8,72.06
United Arab Emirates,5755.278,21.334,34.276,0.101,9890400,112.442,1.144,0.526,67293.483,317.84,17.26,?,1.2,77.97
United Kingdom,4342.456,10.694,667.295,0.398,67886004,272.898,18.517,12.527,39753.244,122.137,4.28,?,2.54,81.32
United States,11399.486,186.693,424.571,1.254,331002647,35.608,15.413,9.732,54225.446,151.089,10.79,?,2.77,78.86
United States Virgin Islands,2844.201,0,57.459,0,104423,306.48,18.601,10.799,?,273.67,12.26,?,?,80.58
Uruguay,303.421,2.879,9.5,0,3473727,19.751,14.655,10.361,20551.409,160.708,6.93,?,2.8,77.91
Uzbekistan,506.914,16.045,2.629,0.12,33469199,76.134,4.469,2.873,6253.104,724.417,7.57,?,4,71.72
Vatican,14833.127,0,0,0,809,?,?,?,?,?,?,?,?,75.12
Venezuela,418.168,14.348,3.939,0.07,28435943,36.253,6.614,3.915,16745.022,204.85,6.47,?,0.8,72.06
Vietnam,3.832,0,0,0,97338583,308.127,7.15,4.718,6171.884,245.465,6,85.847,2.6,75.4
Western Sahara,1282.373,0,1.674,0,597330,?,?,1.38,?,?,?,?,?,70.26
Yemen,53.846,0.838,14.92,0.067,29825968,53.508,2.922,1.583,1479.147,495.003,5.35,49.542,0.7,66.12
Zambia,162.098,0,5.929,0,18383956,22.995,2.48,1.542,3689.251,234.499,3.94,13.938,2,63.89
Zimbabwe,108.39,8.948,1.682,0,14862927,42.729,2.822,1.882,1899.775,307.846,1.82,36.791,1.7,61.49
