Country,CovidDeaths,Over65percnt,HospitalBeds,GINI,Obesity rate,Latitude,Percentage of foreign population,Percentage not in their country
Israel,34.544,11.9769860249625,3.1,38.9,26.1,31.046051,0.9,26.5
Italy,564.224,22.7516796025077,3.5,35.4,19.9,41.87194,2.6,8.3
Jamaica,3.377,8.79664255070196,?,45.5,24.7,18.109581,0.1,1.3
Japan,7.274,27.576369910355,?,32.1,4.3,36.204824,1.1,1.9
Jordan,0.882,3.84649039799834,1.8,33.7,35.5,30.585164,1.3,40.2
Kazakhstan,3.568,7.39184627103032,7.1,27.5,21,48.019573,1.5,21.1
Kenya,1.655,2.33918661191556,?,40.8,7.1,-0.023559,0.4,2.2
Latvia,13.784,20.0436203206809,5.9,34.2,23.6,56.879635,0.2,13.8
Lebanon,4.395,7.00236813439294,3.5,31.8,32,33.854721,0.9,33.3
Lesotho,0,4.90108749682213,?,54.2,16.6,-29.609988,0.1,0.1
Liberia,6.129,3.25343179968014,?,35.3,9.9,6.428055,0.1,5.3
Lithuania,27.183,19.7050331564608,7.4,37.4,26.3,55.169438,0.1,4.9
Luxembourg,175.726,14.1831541841472,5.3,33.8,22.6,49.815273,0.1,43.3
Madagascar,0.361,2.98671712579162,?,42.6,5.3,-18.766947,0.1,0.1
Malawi,0.209,2.64543493031032,1.3,44.7,5.8,-13.254308,0.1,1.3
Malaysia,3.646,6.67175462547886,1.79,41,15.6,4.210484,1.1,8.3
Mali,4.741,2.50722975755683,?,33,8.6,17.570692,0.1,1.3
Malta,20.383,20.3493242997122,4.4,29.4,28.9,35.937496,0.1,8
Mauritania,13.119,3.14111215805009,?,32.6,12.7,21.00789,0.1,2.3
Mauritius,7.863,11.4741730686522,3.4,38.5,10.8,-20.348404,0.1,3.6
Mexico,119.109,7.22368498087198,1.5,48.3,28.9,23.634501,0.5,0.9
Moldova,91.969,11.4695563413512,6.2,25.9,18.9,47.411631,0.2,11.2
Mongolia,0,4.08353878726245,6.75,32.3,20.6,46.862496,0.1,0.6
Montenegro,14.33,14.9749366447439,4,31.9,23.3,42.708678,0.1,8.2
Morocco,5.689,7.0129048211122,0.9,39.5,26.1,31.791702,0.1,0.2
Mozambique,0.064,2.8907644574499,0.7,54,7.2,-18.665695,0.1,0.8
Namibia,0,3.63603168074514,?,59.1,17.2,-22.95764,0.1,2.2
Netherlands,352.614,19.1961926333387,?,28.2,20.4,52.132633,0.8,11.1
Nicaragua,8.302,5.24749744838026,1.1,46.2,23.7,12.865416,0.1,0.7
Niger,2.685,2.59500788269853,?,34.3,5.5,17.607789,0.1,0.7
Nigeria,1.853,2.74737700532743,?,43,8.9,9.081999,0.5,0.7
Norway,44.086,17.0492221563211,4.2,27.5,23.1,60.472024,0.3,13.8
Pakistan,10.666,4.31277431133756,0.6,33.5,8.6,30.375321,1.8,2.2
Panama,95.718,8.10473107966757,2.2,49.9,22.7,8.537981,0.1,4.7
Papua New Guinea,0,3.44526925145617,?,41.9,21.3,-6.314993,0.1,0.4
Paraguay,1.542,6.43021500946081,1.3,48.8,20.3,-23.442503,0.1,2.8
Peru,179.032,8.08839279183076,1.5,43.3,19.7,-9.189967,0.1,0.3
Philippines,9.372,5.12256876829946,1,44.4,6.4,12.879721,0.09,0.23
Poland,31.865,17.5178167625452,6.5,31.8,23.1,51.919438,0.3,1.6
Portugal,146.616,21.9538575375873,3.4,35.5,20.8,39.399872,0.3,7.5
Romania,70.695,18.3387013938296,6.1,35.9,22.5,45.943161,0.1,0.9
Rwanda,0.154,2.9381960775388,?,43.7,5.8,-1.940278,0.2,3.8
Senegal,3.225,3.08682370101833,?,40.3,8.8,14.497401,0.1,1.5
Serbia,36.887,18.3457926916963,5.6,39.6,21.5,44.016521,0.3,5.6
Seychelles,0,7.59454560435034,3.6,46.8,14,-4.679574,0.1,13
Sierra Leone,6.268,2.96655621131612,?,34,8.7,8.460555,0.1,1.6
Slovenia,52.431,19.6068796541788,4.6,25.4,20.2,46.151241,0.2,11.3
South Africa,20.402,5.31800500542302,?,63,28.3,-30.559482,1.3,6
Spain,580.39,19.3785075224995,3.1,36.2,23.8,40.463667,2.9,15.2
Sri Lanka,0.514,10.4732197537841,?,39.8,5.2,7.873054,0.2,1.5
Sudan,8.871,3.58116052825144,0.8,35.4,6.6,12.862807,0.2,1.2
Suriname,3.409,6.90636990225525,?,57.6,26.4,3.919305,0.1,7.5
Sweden,474.787,20.0955249278002,2.7,29.2,20.6,60.128161,0.7,18.5
Tajikistan,5.033,3.02188755207627,4.9,34,14.2,38.861034,0.2,3.4
Tanzania,0.352,2.60129917835952,?,37.8,8.4,-6.369028,0.2,0.6
